Yas,yil,sayi
01.45.11.02.04. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Dişi Koyun),2015,16373022
01.45.11.02.04. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Dişi Koyun),2016,16150338
01.45.11.02.04. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Dişi Koyun),2017,18610150
01.45.11.02.04. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Dişi Koyun),2018,19931079
01.45.11.02.04. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Dişi Koyun),2019,20901180
01.45.11.02.05. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Koç),2004,1053749
01.45.11.02.05. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Koç),2005,967133
01.45.11.02.05. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Koç),2006,1005756
01.45.11.02.05. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Koç),2007,842633
01.45.11.02.05. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Koç),2008,858021
01.45.11.02.05. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Koç),2009,747239
01.45.11.02.05. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Koç),2010,657301
01.45.11.02.05. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Koç),2011,722940
01.45.11.02.05. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Koç),2012,801954
01.45.11.02.05. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Koç),2013,933984
01.45.11.02.05. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Koç),2014,1049546
01.45.11.02.05. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Koç),2015,1034417
01.45.11.02.05. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Koç),2016,990997
01.45.11.02.05. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Koç),2017,1002085
01.45.11.02.05. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Koç),2018,1096967
01.45.11.02.05. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Koç),2019,1160242
